SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
888880      2      0.000001  	   1.00000000    1.00000000   0.2
888881      2      0.000001        1.00000000    1.00000000   0.2
888882      2      0.000001        1.00000000    1.00000000   0.2
888883      2      0.000001        1.00000000    1.00000000   0.2
888884      2      0.000001        1.00000000    1.00000000   0.2
888885      2      0.000001        1.00000000    1.00000000   0.2
888886      2      0.000001        1.00000000    1.00000000   0.2
888887      2      0.000001        1.00000000    1.00000000   0.2
888888      2      0.000001        1.00000000    1.00000000   0.2
888889      2      0.000001        1.00000000    1.00000000   0.2
