#: table_doi: 10.17182/hepdata.77719.v2/t13
#: name: Exclusion contour 7 (obs.)
#: description: Observed 95% CL exclusion contours on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, which in turn decays via non-zero baryon- and lepton-number-violating RPV couplings $\lambda^{'}_{ijk}$, $\tilde g\to q\bar{q}\tilde{\chi}_1^0$ followed by $\tilde{\chi}_1^0\to q\bar{q}^{'}\ell$.
#: data_file: limitsFig05cObs.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | RPV | Gluino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
1001,951
1002,953
1004,955
1006,955
1007,957
1008,959
1011,959
1012,961
1013,964
1016,964
1017,966
1018,968
1020,968
1021,970
1023,973
1025,973
1026,975
1028,977
1030,977
1031,979
1032,981
1035,981
1036,983
1037,986
1040,986
1041,988
1042,990
1043,992
1044,995
1047,995
1048,997
1049,999
1052,999
1053,1001
1054,1003
1056,1003
1057,1005
1059,1008
1061,1008
1062,1010
1064,1012
1066,1012
1067,1014
1068,1017
1071,1017
1072,1019
1073,1021
1076,1021
1077,1023
1078,1025
1080,1025
1081,1027
1083,1030
1085,1030
1086,1032
1088,1034
1090,1034
1091,1036
1092,1039
1095,1039
1096,1041
1097,1043
1100,1043
1101,1045
1102,1047
1104,1047
1105,1049
1107,1052
1108,1054
1109,1056
1112,1056
1113,1058
1114,1061
1116,1061
1117,1063
1119,1065
1121,1065
1122,1067
1124,1069
1126,1069
1127,1071
1128,1074
1131,1074
1132,1076
1133,1078
1136,1078
1137,1080
1138,1083
1140,1083
1141,1085
1143,1087
1145,1087
1146,1089
1148,1091
1150,1091
1151,1093
1152,1096
1155,1096
1156,1098
1157,1100
1160,1100
1161,1102
1162,1105
1164,1105
1165,1107
1167,1109
1169,1109
1170,1111
1172,1113
1173,1115
1174,1118
1176,1118
1177,1120
1179,1122
1181,1122
1182,1124
1184,1127
1186,1127
1187,1129
1188,1131
1191,1131
1192,1133
1193,1135
1196,1135
1197,1137
1198,1140
1200,1140
1201,1142
1203,1144
1205,1144
1206,1146
1208,1149
1210,1149
1211,1151
1212,1153
1215,1153
1216,1155
1217,1157
1220,1157
1221,1159
1222,1162
1224,1162
1225,1164
1227,1166
1229,1166
1230,1168
1232,1171
1234,1171
1235,1173
1236,1175
1239,1175
1240,1177
1241,1179
1242,1181
1244,1184
1246,1184
1247,1186
1248,1188
1251,1188
1252,1190
1253,1193
1256,1193
1257,1195
1258,1197
1260,1197
1261,1199
1263,1201
1265,1201
1266,1203
1268,1206
1270,1206
1271,1208
1272,1210
1275,1210
