#: table_doi: 10.17182/hepdata.91214.v4/t3
#: name: Exclusion contour from Fig.7b (Obs.)
#: description: Observed 95% CL exclusion contours in signal region Rpv2L on the gluino and lightest top squark masses in a SUSY scenario where gluinos are produced in pairs and decay into a top quark and an top squark, which in turn decays via non-zero baryon-number-violating RPV couplings $\lambda^{''}_{313}$, $\tilde g\to t\tilde{t}_1$ followed by $\tilde{t}_1\to b d$.
#: data_file: exclusion_contour_from_fig.7b_(obs.).yaml
#: keyword observables: CLS
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | RPV | Neutralino | Proton-Proton Scattering | SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO X
#: Region,Rpv2L
#: SQRT(S) [TeV],13
M(GLUINO) [GeV],M(STOP1) [GeV]
1609.1,400.0
1610.8,418.18
1612.8,436.36
1615.1,454.55
1617.7,472.73
1618.2,476.22
1620.4,490.91
1623.2,509.09
1625.9,527.27
1628.6,545.45
1631.2,563.64
1633.5,581.82
1635.6,600.0
1636.4,608.13
1637.3,618.18
1638.8,636.36
1639.9,654.55
1640.7,672.73
1641.1,690.91
1641.2,709.09
1640.9,727.27
1640.2,745.45
1639.1,763.64
1637.6,781.82
1636.4,793.34
1635.7,800.0
1633.4,818.18
1630.7,836.36
1627.9,854.55
1624.8,872.73
1621.7,890.91
1618.8,909.09
1618.2,913.4
1616.3,927.27
1614.3,945.45
1612.8,963.64
1612.2,981.82
1612.2,1000.0
1613.0,1018.2
1614.3,1036.4
1616.1,1054.5
1618.0,1072.7
1618.2,1074.2
1620.1,1090.9
1622.0,1109.1
1623.4,1127.3
1624.3,1145.5
1624.4,1163.6
1623.8,1181.8
1622.2,1200.0
1619.5,1218.2
1618.2,1224.5
1615.7,1236.4
1610.5,1254.5
1603.8,1272.7
1600.0,1281.2
1595.4,1290.9
1584.8,1309.1
1581.8,1313.6
1571.4,1327.3
1563.6,1336.0
1553.1,1345.5
1545.5,1351.5
1527.3,1354.8
1517.7,1345.2
1509.1,1336.6
1490.9,1318.4
1476.1,1303.6
1472.7,1300.2
1454.5,1282.0
1436.4,1263.9
1429.6,1257.1
1418.2,1245.7
1400.0,1227.5
1399.3,1226.8
1381.8,1209.3
1374.5,1202.0
1363.6,1191.1
1351.6,1179.1
1345.5,1173.0
1329.9,1157.4
1327.3,1154.8
1309.2,1136.7
1309.1,1136.6
1290.9,1118.4
1289.3,1116.8
1272.7,1100.2
1269.7,1097.2
1254.5,1082.0
1250.5,1078.0
1236.4,1063.9
1231.5,1059.0
1218.2,1045.7
1212.8,1040.3
1200.0,1027.5
1194.2,1021.7
1181.8,1009.3
1175.6,1003.1
1163.6,991.14
1156.9,984.36
1145.5,972.95
1137.9,965.39
1127.3,954.77
1118.6,946.14
1109.1,936.59
1099.1,926.63
1090.9,918.41
1079.4,906.9
1072.7,900.23
1059.6,887.07
1054.5,882.05
1039.8,867.3
1036.4,863.86
1020.2,847.73
1018.2,845.68
1000.9,828.45
1000.0,827.5
981.97,809.47
981.82,809.32
963.64,791.14
963.28,790.78
945.45,772.95
944.78,772.28
927.27,754.77
926.43,753.93
909.09,736.59
908.16,735.66
890.91,718.41
889.89,717.39
872.73,700.23
871.55,699.05
854.55,682.05
853.01,680.51
836.36,663.86
834.22,661.72
818.18,645.68
815.14,642.64
800.0,627.5
795.86,623.36
781.82,609.32
776.5,604.0
763.64,591.14
757.27,584.77
745.45,572.95
738.41,565.91
727.27,554.77
720.16,547.66
709.09,536.59
702.73,530.23
690.91,518.41
686.34,513.84
672.73,500.23
671.13,498.63
657.21,484.71
654.55,482.05
644.64,472.14
636.36,463.86
633.36,460.86
623.36,450.86
618.18,445.68
614.5,442.0
606.71,434.21
600.0,427.5

